Categoria,Palabra,Frecuencia
Tipo de producto,electrónico,25
Tipo de producto,tablet,205
Tipo de producto,equipos de sonido,21
Tipo de producto,tableta,138
Tipo de producto,zapato,198
Tipo de producto,chelsea,143
Tipo de producto,tenis,129
Tipo de producto,calzado,143
Tipo de producto,ropa,61
Tipo de producto,sudadera,154
Tipo de producto,zapatilla,194
Tipo de producto,fútbol,195
Tipo de producto,ropa deportiva,207
Tipo de producto,camisa,84
Tipo de producto,maleta,121
Tipo de producto,sandía,112
Tipo de producto,modelo,133
Tipo de producto,ropa de marca,121
Tipo de producto,chaqueta,147
Tipo de producto,montaña,66
Tipo de producto,buzo,196
Tipo de producto,sport,34
Tipo de producto,bolso,125
Tipo de producto,uniforme,155
Tipo de producto,gorra,202
Tipo de producto,pantaloneta,143
Tipo de producto,accesorio,72
Tipo de producto,morral,177
Tipo de producto,tienda,157
Tipo de producto,reloj,110
Tipo de producto,diario,97
Tipo de producto,media,36
Tipo de producto,suéter,136
Tipo de producto,baloncesto,172
Tipo de producto,franela,44
Tipo de producto,canguro,77
Tipo de producto,avión,27
Tipo de producto,tiquete aéreo,110
Tipo de producto,aviación,63
Tipo de producto,aerolínea,137
Tipo de producto,boleto,69
Tipo de producto,nave,124
Tipo de producto,tiquete,198
Tipo de producto,empresa colombiana,67
Tipo de producto,pasaporte,123
Tipo de producto,low cost,89
Tipo de producto,aerolinea,103
Tipo de producto,banco,31
Tipo de producto,transporte,177
Tipo de producto,aerovías de colombia,134
Tipo de producto,pista,193
Tipo de producto,visa,82
Tipo de producto,trasporte,130
Tipo de producto,vial,7
Tipo de producto,el más viejo del mundo,72
Tipo de producto,equipaje,115
Tipo de producto,transporte de carga,92
Tipo de producto,aerolínea líder,24
Tipo de producto,negocio,205
Tipo de producto,crema dental,26
Tipo de producto,doctor muelitas,146
Tipo de producto,enjuague,152
Tipo de producto,aseo crema de dientes diente,68
Tipo de producto,cepillo,185
Tipo de producto,dentífrico,73
Tipo de producto,pasta dental,65
Tipo de producto,pasta,85
Tipo de producto,crema de dientes,181
Tipo de producto,producto,117
Tipo de producto,otro producto,55
Tipo de producto,enjuague bucal,100
Tipo de producto,la marca que uso a diario,87
Tipo de producto,multimarca,61
Tipo de producto,cepillo dental,108
Tipo de producto,limpiador,189
Tipo de producto,cepillo de diente,112
Tipo de producto,ceda dental,39
Tipo de producto,seda dental,196
Tipo de producto,tipo,84
Tipo de producto,cosa,197
Tipo de producto,té,204
Tipo de producto,chat,153
Tipo de producto,miel,189
Tipo de producto,papa,187
Tipo de producto,macadamia,39
Valor,compromiso,37
Valor,constancia,181
Valor,disciplina,157
Valor,fortaleza,133
Valor,apoyo,65
Valor,tenacidad,12
Valor,trabajo,107
Valor,cuidado personal,109
Valor,amor propio,49
Valor,autoridad,115
Valor,responsabilidad,26
Valor,deber,165
Valor,orden,37
Valor,solidaridad,76
Valor,armonía,118
Valor,paz,193
Valor,prioridad,8
Valor,paz interior,203
Valor,progreso,172
Valor,cuidado ambiental,76
Valor,respeto a la autoridad,198
Valor,decisión,143
Valor,respeto animal,63
Valor,cuidado corporal,30
Valor,responsabilidad ambiental,136
Valor,medio ambiente,183
Valor,protección animal,41
Valor,tradición,86
Valor,éxito,126
Valor,reconocimiento,198
Valor,trayectoria,103
Valor,mi pasión,12
Valor,patrocinador,96
Valor,larga trayectoria,183
Valor,reconocido,34
Valor,orgullo,182
Valor,reconocida,132
Valor,fidelidad,65
Valor,exitosa,180
Valor,para todos,152
Valor,globalización,77
Valor,pasado,36
Valor,identidad,73
Valor,antiguo,79
Valor,tradición,26
Valor,seriedad,102
Valor,recuerdo,200
Valor,inspiración,119
Valor,nombre,4
Valor,derecho,13
Valor,perseverancia,139
Valor,meta,206
Valor,legado,175
Valor,costumbre,56
Valor,posesión,25
Valor,necesidad,28
Valor,de toda la vida,26
Valor,necesario,174
Valor,preferencia,192
Valor,preferida,109
Valor,perdón,31
Valor,acuerdo,31
